index cache_size betterxb_storage_gb betterxb_sum_save_s skltweet_storage_gb skltweet_sum_save_s tpsmay22_storage_gb tpsmay22_sum_save_s twittnet_storage_gb twittnet_sum_save_s ai4code_storage_gb ai4code_sum_save_s
0 0.002 0.392691814 25.80466604232788 1.252825408 48.89211940765381 7.482720299 117.11501049995422 0.35955717 120.07239294052124 10.351295206 528.9618923664093
1 0.004 0.392691067 25.61507773399353 1.252827548 48.744913816452026 7.482720299 119.05665946006775 0.359556996 122.29501748085022 10.352098299 536.1032025814056
2 0.016 0.392691694 26.06861400604248 1.252827822 47.0976939201355 7.482720299 118.62091016769409 0.359557362 119.35227608680725 10.351549241 536.2702152729034
3 0.064 0.392691577 26.765183687210083 1.252828091 48.623409271240234 7.482720299 117.49017024040222 0.359571162 120.5748062133789 10.351268976 538.2228183746338
4 0.256 0.392694646 26.1035213470459 1.186975724 46.9824116230011 2.189894467 105.69925999641418 0.352240733 123.06593322753906 8.579034829 527.5190472602844
5 1.024 0.238917494 25.7861750125885 1.011716 47.333085775375366 1.541816218 109.48215198516846 0.207807137 120.77443432807922 8.300421706 532.3030459880829
6 4.096 0.067583466 23.20932960510254 0.305347541 47.778828382492065 1.01350069 105.72086644172668 0.205689837 119.79144430160522 7.340518893 531.0605926513672
7 16.384 0.067583556 22.905544757843018 0.258630418 46.783771276474 1.102300162 106.8719847202301 0.200018816 118.64930772781372 7.33830604 525.392511844635
8 65.536 0.067583462 23.95535397529602 0.257783025 47.537092447280884 0.778299994 106.99783873558044 0.181475583 119.15007829666138 7.338273994 521.6438674926758
9 262.144 0.06758347 23.949750185012817 0.257783148 45.186477184295654 0.778299994 108.92672443389893 0.181475442 123.54309415817261 7.895347894 533.165167093277
10 1048.576 0.06758328 22.91702389717102 0.258630361 46.101330518722534 0.778299994 106.15470385551453 0.197416574 123.6790280342102 7.8711039 520.8289840221405
