index tc tv tl tml tme elemsize snp_storage_gb snp_sum_save_s snp_avg_save_s snp_median_load_s snp_n snp_rel_storage_gb snp_rel_sum_save_s snp_rel_avg_save_s snp_rel_median_load_s snp_rel_n dill_storage_gb dill_sum_save_s dill_avg_save_s dill_median_load_s dill_n dill_rel_storage_gb dill_rel_sum_save_s dill_rel_avg_save_s dill_rel_median_load_s dill_rel_n shev_storage_gb shev_sum_save_s shev_avg_save_s shev_median_load_s shev_n shev_rel_storage_gb shev_rel_sum_save_s shev_rel_avg_save_s shev_rel_median_load_s shev_rel_n zosp_storage_gb zosp_sum_save_s zosp_avg_save_s zosp_median_load_s zosp_n zosp_rel_storage_gb zosp_rel_sum_save_s zosp_rel_avg_save_s zosp_rel_median_load_s zosp_rel_n zodb_storage_gb zodb_sum_save_s zodb_avg_save_s zodb_median_load_s zodb_n zodb_rel_storage_gb zodb_rel_sum_save_s zodb_rel_avg_save_s zodb_rel_median_load_s zodb_rel_n criu_storage_gb criu_sum_save_s criu_avg_save_s criu_median_load_s criu_n criu_rel_storage_gb criu_rel_sum_save_s criu_rel_avg_save_s criu_rel_median_load_s criu_rel_n pga_storage_gb pga_sum_save_s pga_avg_save_s pga_median_load_s pga_n pga_rel_storage_gb pga_rel_sum_save_s pga_rel_avg_save_s pga_rel_median_load_s pga_rel_n exhaust_storage_gb exhaust_sum_save_s exhaust_avg_save_s exhaust_median_load_s exhaust_n exhaust_rel_storage_gb exhaust_rel_sum_save_s exhaust_rel_avg_save_s exhaust_rel_median_load_s exhaust_rel_n nsobj nssize
0 2 1 1 1 100 100 3.56e-07 0.0006213188171386719 0.00020710627237955728 0.0003267526626586914 3 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 3.56e-07 0.0005755424499511719 0.00019184748331705728 0.00031757354736328125 3 1.0$\times$ 1.1$\times$ 1.1$\times$ 1.0$\times$ 1.0$\times$ 1.798e-06 0.0030117034912109375 0.0010039011637369792 0.0006647109985351562 3 0.2$\times$ 0.21$\times$ 0.21$\times$ 0.49$\times$ 1.0$\times$ 1.394e-06 0.006746530532836914 0.002248843510945638 0.002782464027404785 3 0.26$\times$ 0.09$\times$ 0.09$\times$ 0.12$\times$ 1.0$\times$ 9.61e-07 0.001895904541015625 0.0006319681803385416 0.0007075071334838867 3 0.37$\times$ 0.33$\times$ 0.33$\times$ 0.46$\times$ 1.0$\times$ 0.01079429 0.10652542114257812 0.03550847371419271 1.7104648351669312 3 0.0$\times$ 0.01$\times$ 0.01$\times$ 0.0$\times$ 1.0$\times$ 7.04e-07 0.003870725631713867 0.0012902418772379558 0.000737309455871582 3 0.51$\times$ 0.16$\times$ 0.16$\times$ 0.44$\times$ 1.0$\times$ 7.04e-07 0.03854203224182129 0.012847344080607096 0.0006285905838012695 3.0 0.51$\times$ 0.02$\times$ 0.02$\times$ 0.52$\times$ 1.0$\times$ 2 1e-07
1 2 1 2 1 100 100 5.64e-07 0.000507354736328125 0.00016911824544270834 0.00031280517578125 3 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 5.64e-07 0.0004734992980957031 0.00015783309936523438 0.000286102294921875 3 1.0$\times$ 1.1$\times$ 1.1$\times$ 1.1$\times$ 1.0$\times$ 1.902e-06 0.0029311180114746094 0.0009770393371582031 0.0006927251815795898 3 0.3$\times$ 0.17$\times$ 0.17$\times$ 0.45$\times$ 1.0$\times$ 1.81e-06 0.03216910362243652 0.010723034540812174 0.0021022558212280273 3 0.31$\times$ 0.02$\times$ 0.02$\times$ 0.15$\times$ 1.0$\times$ 1.273e-06 0.0019164085388183594 0.0006388028462727865 0.0007630586624145508 3 0.44$\times$ 0.26$\times$ 0.26$\times$ 0.41$\times$ 1.0$\times$ 0.010928828 0.10524177551269531 0.0350805918375651 1.6777955293655396 3 0.0$\times$ 0.0$\times$ 0.0$\times$ 0.0$\times$ 1.0$\times$ 8.08e-07 0.0037689208984375 0.0012563069661458333 0.000722050666809082 3 0.7$\times$ 0.13$\times$ 0.13$\times$ 0.43$\times$ 1.0$\times$ 8.08e-07 0.19437289237976074 0.06479096412658691 0.000661015510559082 3.0 0.7$\times$ 0.0$\times$ 0.0$\times$ 0.47$\times$ 1.0$\times$ 3 2e-07
3 2 2 1 1 100 100 5.82e-07 0.0004973411560058594 0.00016578038533528647 0.0003012418746948242 3 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 5.82e-07 0.0005900859832763672 0.00019669532775878906 0.0003331899642944336 3 1.0$\times$ 0.84$\times$ 0.84$\times$ 0.9$\times$ 1.0$\times$ 2.906e-06 0.0030922889709472656 0.0010307629903157551 0.0007828474044799805 3 0.2$\times$ 0.16$\times$ 0.16$\times$ 0.38$\times$ 1.0$\times$ 1.846e-06 0.0066852569580078125 0.002228418986002604 0.0030554533004760742 3 0.32$\times$ 0.07$\times$ 0.07$\times$ 0.1$\times$ 1.0$\times$ 1.3e-06 0.002359151840209961 0.0007863839467366537 0.0006349086761474609 3 0.45$\times$ 0.21$\times$ 0.21$\times$ 0.47$\times$ 1.0$\times$ 0.010966769 0.11088395118713379 0.03696131706237793 1.7520142793655396 3 0.0$\times$ 0.0$\times$ 0.0$\times$ 0.0$\times$ 1.0$\times$ 9.29e-07 0.007475376129150391 0.0024917920430501304 0.0009397268295288086 3 0.63$\times$ 0.07$\times$ 0.07$\times$ 0.32$\times$ 1.0$\times$ 9.32e-07 1.0529470443725586 0.3509823481241862 0.0008107423782348633 3.0 0.62$\times$ 0.0$\times$ 0.0$\times$ 0.37$\times$ 1.0$\times$ 4 2e-07
2 2 1 3 1 100 100 7.7e-07 0.0005350112915039062 0.00017833709716796875 0.00032639503479003906 3 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 7.7e-07 0.0004980564117431641 0.00016601880391438803 0.0003076791763305664 3 1.0$\times$ 1.1$\times$ 1.1$\times$ 1.1$\times$ 1.0$\times$ 2.005e-06 0.0030312538146972656 0.0010104179382324219 0.0007886886596679688 3 0.38$\times$ 0.18$\times$ 0.18$\times$ 0.41$\times$ 1.0$\times$ 2.222e-06 0.0061151981353759766 0.0020383993784586587 0.0023055076599121094 3 0.35$\times$ 0.09$\times$ 0.09$\times$ 0.14$\times$ 1.0$\times$ 1.582e-06 0.0017821788787841797 0.0005940596262613932 0.0006778240203857422 3 0.49$\times$ 0.3$\times$ 0.3$\times$ 0.48$\times$ 1.0$\times$ 0.010564433 0.11572957038879395 0.03857652346293131 1.7012832164764404 3 0.0$\times$ 0.0$\times$ 0.0$\times$ 0.0$\times$ 1.0$\times$ 9.14e-07 0.007512807846069336 0.002504269282023112 0.00064849853515625 3 0.84$\times$ 0.07$\times$ 0.07$\times$ 0.5$\times$ 1.0$\times$ 9.16e-07 0.9107775688171387 0.3035925229390462 0.0006560087203979492 3.0 0.84$\times$ 0.0$\times$ 0.0$\times$ 0.5$\times$ 1.0$\times$ 4 3e-07
6 2 3 1 1 100 100 8.06e-07 0.0005331039428710938 0.0001777013142903646 0.00030982494354248047 3 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 8.06e-07 0.0005128383636474609 0.0001709461212158203 0.0002995729446411133 3 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 4.014e-06 0.0032165050506591797 0.0010721683502197266 0.0009262561798095703 3 0.2$\times$ 0.17$\times$ 0.17$\times$ 0.33$\times$ 1.0$\times$ 2.294e-06 0.006384611129760742 0.0021282037099202475 0.002728104591369629 3 0.35$\times$ 0.08$\times$ 0.08$\times$ 0.11$\times$ 1.0$\times$ 1.637e-06 0.0023169517517089844 0.0007723172505696615 0.0007637739181518555 3 0.49$\times$ 0.23$\times$ 0.23$\times$ 0.41$\times$ 1.0$\times$ 0.0103435 0.10883450508117676 0.03627816836039225 1.7041122913360596 3 0.0$\times$ 0.0$\times$ 0.0$\times$ 0.0$\times$ 1.0$\times$ 1.153e-06 0.0040378570556640625 0.0013459523518880208 0.0009323358535766602 3 0.7$\times$ 0.13$\times$ 0.13$\times$ 0.33$\times$ 1.0$\times$ 1.157e-06 16.940535306930542 5.646845102310181 0.0009161233901977539 3.0 0.7$\times$ 0.0$\times$ 0.0$\times$ 0.34$\times$ 1.0$\times$ 6 3e-07
4 2 2 2 1 100 100 9.98e-07 0.00083160400390625 0.0002772013346354167 0.0005017518997192383 3 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 9.98e-07 0.0004975795745849609 0.00016585985819498697 0.0002943277359008789 3 1.0$\times$ 1.7$\times$ 1.7$\times$ 1.7$\times$ 1.0$\times$ 4.036e-06 0.003121614456176758 0.0010405381520589192 0.0007541179656982422 3 0.25$\times$ 0.27$\times$ 0.27$\times$ 0.67$\times$ 1.0$\times$ 2.678e-06 0.0060520172119140625 0.002017339070638021 0.002324819564819336 3 0.37$\times$ 0.14$\times$ 0.14$\times$ 0.22$\times$ 1.0$\times$ 1.924e-06 0.0018589496612548828 0.0006196498870849609 0.0007287263870239258 3 0.52$\times$ 0.45$\times$ 0.45$\times$ 0.69$\times$ 1.0$\times$ 0.010872809 0.12103676795959473 0.04034558931986491 1.6886394023895264 3 0.0$\times$ 0.01$\times$ 0.01$\times$ 0.0$\times$ 1.0$\times$ 1.137e-06 0.006898164749145508 0.0022993882497151694 0.0009115934371948242 3 0.88$\times$ 0.12$\times$ 0.12$\times$ 0.55$\times$ 1.0$\times$ 1.14e-06 15.62531065940857 5.208436886469523 0.0007528066635131836 3.0 0.88$\times$ 0.0$\times$ 0.0$\times$ 0.67$\times$ 1.0$\times$ 6 4e-07
5 2 2 3 1 100 100 1.41e-06 0.0005621910095214844 0.00018739700317382812 0.00036334991455078125 3 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.41e-06 0.0005192756652832031 0.00017309188842773438 0.0003497600555419922 3 1.0$\times$ 1.1$\times$ 1.1$\times$ 1.0$\times$ 1.0$\times$ 4.139e-06 0.0031554698944091797 0.0010518232981363933 0.0007681846618652344 3 0.34$\times$ 0.18$\times$ 0.18$\times$ 0.47$\times$ 1.0$\times$ 3.502e-06 0.006418943405151367 0.0021396478017171225 0.0028935670852661133 3 0.4$\times$ 0.09$\times$ 0.09$\times$ 0.13$\times$ 1.0$\times$ 2.543e-06 0.001978635787963867 0.0006595452626546224 0.0006312131881713867 3 0.55$\times$ 0.28$\times$ 0.28$\times$ 0.58$\times$ 1.0$\times$ 0.011152261 0.10779118537902832 0.03593039512634277 1.7243155241012573 3 0.0$\times$ 0.01$\times$ 0.01$\times$ 0.0$\times$ 1.0$\times$ 1.349e-06 0.003844022750854492 0.0012813409169514973 0.0009226799011230469 3 1.0$\times$ 0.15$\times$ 0.15$\times$ 0.39$\times$ 1.0$\times$ 1.358e-06 316.5210280418396 105.50700934727986 0.0007382631301879883 3.0 1.0$\times$ 0.0$\times$ 0.0$\times$ 0.49$\times$ 1.0$\times$ 8 6e-07
7 2 3 2 1 100 100 1.43e-06 0.0005452632904052734 0.00018175443013509115 0.0003668069839477539 3 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.43e-06 0.0005466938018798828 0.00018223126729329428 0.00030732154846191406 3 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.2$\times$ 1.0$\times$ 5.144e-06 0.003437042236328125 0.0011456807454427083 0.000873565673828125 3 0.28$\times$ 0.16$\times$ 0.16$\times$ 0.42$\times$ 1.0$\times$ 3.542e-06 0.006739139556884766 0.002246379852294922 0.0027866363525390625 3 0.4$\times$ 0.08$\times$ 0.08$\times$ 0.13$\times$ 1.0$\times$ 2.573e-06 0.001772165298461914 0.0005907217661539713 0.0006549358367919922 3 0.56$\times$ 0.31$\times$ 0.31$\times$ 0.56$\times$ 1.0$\times$ 0.010509078 0.11728739738464355 0.039095799128214516 1.705258846282959 3 0.0$\times$ 0.0$\times$ 0.0$\times$ 0.0$\times$ 1.0$\times$ 1.465e-06 0.007991552352905273 0.002663850784301758 0.0009189844131469727 3 0.98$\times$ 0.07$\times$ 0.07$\times$ 0.4$\times$ 1.0$\times$ 1.477e-06 1405.1031012535095 468.3677004178365 0.000919342041015625 3.0 0.97$\times$ 0.0$\times$ 0.0$\times$ 0.4$\times$ 1.0$\times$ 9 6e-07
8 2 3 3 1 100 100 2.048e-06 0.0005700588226318359 0.0001900196075439453 0.0003185272216796875 3 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 2.048e-06 0.0005724430084228516 0.00019081433614095053 0.00035190582275390625 3 1.0$\times$ 1.0$\times$ 1.0$\times$ 0.91$\times$ 1.0$\times$ 6.275e-06 0.003310680389404297 0.0011035601298014324 0.0008645057678222656 3 0.33$\times$ 0.17$\times$ 0.17$\times$ 0.37$\times$ 1.0$\times$ 4.778e-06 0.006641387939453125 0.0022137959798177085 0.002331376075744629 3 0.43$\times$ 0.09$\times$ 0.09$\times$ 0.14$\times$ 1.0$\times$ 3.5e-06 0.0020062923431396484 0.0006687641143798828 0.0007379055023193359 3 0.59$\times$ 0.28$\times$ 0.28$\times$ 0.43$\times$ 1.0$\times$ 0.011008848 0.1096346378326416 0.0365448792775472 1.724086046218872 3 0.0$\times$ 0.01$\times$ 0.01$\times$ 0.0$\times$ 1.0$\times$ 1.783e-06 0.0047795772552490234 0.001593192418416341 0.0007606744766235352 3 1.1$\times$ 0.12$\times$ 0.12$\times$ 0.42$\times$ 1.0$\times$ nan nan nan nan nan nan nan nan nan nan 12 9e-07
0 10 100 1 1 100 100 0.00011357 0.009631633758544922 0.0008756030689586293 0.0008535385131835938 11 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 0.00011357 0.009540796279907227 0.0008673451163552024 0.0008426904678344727 11 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 0.000677274 0.15983080863952637 0.014530073512684216 0.019879937171936035 11 0.17$\times$ 0.06$\times$ 0.06$\times$ 0.04$\times$ 1.0$\times$ 0.00023055 0.03306937217712402 0.0030063065615567293 0.002570629119873047 11 0.49$\times$ 0.29$\times$ 0.29$\times$ 0.33$\times$ 1.0$\times$ 0.000126051 0.017908096313476562 0.0016280087557705965 0.001146554946899414 11 0.9$\times$ 0.54$\times$ 0.54$\times$ 0.74$\times$ 1.0$\times$ 0.052177847 0.41590142250061035 0.037809220227328216 1.7275340557098389 11 0.0$\times$ 0.02$\times$ 0.02$\times$ 0.0$\times$ 1.0$\times$ 4.772e-05 0.03936457633972168 0.003578597849065607 0.0054280757904052734 11 2.4$\times$ 0.24$\times$ 0.24$\times$ 0.16$\times$ 1.0$\times$ nan nan nan nan nan nan nan nan nan nan 200 1e-05
