index tc tv tl tml tme elemsize snp_storage_gb snp_sum_save_s snp_avg_save_s snp_median_load_s snp_n snp_rel_storage_gb snp_rel_sum_save_s snp_rel_avg_save_s snp_rel_median_load_s snp_rel_n dill_storage_gb dill_sum_save_s dill_avg_save_s dill_median_load_s dill_n dill_rel_storage_gb dill_rel_sum_save_s dill_rel_avg_save_s dill_rel_median_load_s dill_rel_n shev_storage_gb shev_sum_save_s shev_avg_save_s shev_median_load_s shev_n shev_rel_storage_gb shev_rel_sum_save_s shev_rel_avg_save_s shev_rel_median_load_s shev_rel_n zosp_storage_gb zosp_sum_save_s zosp_avg_save_s zosp_median_load_s zosp_n zosp_rel_storage_gb zosp_rel_sum_save_s zosp_rel_avg_save_s zosp_rel_median_load_s zosp_rel_n zodb_storage_gb zodb_sum_save_s zodb_avg_save_s zodb_median_load_s zodb_n zodb_rel_storage_gb zodb_rel_sum_save_s zodb_rel_avg_save_s zodb_rel_median_load_s zodb_rel_n criu_storage_gb criu_sum_save_s criu_avg_save_s criu_median_load_s criu_n criu_rel_storage_gb criu_rel_sum_save_s criu_rel_avg_save_s criu_rel_median_load_s criu_rel_n pga_storage_gb pga_sum_save_s pga_avg_save_s pga_median_load_s pga_n pga_rel_storage_gb pga_rel_sum_save_s pga_rel_avg_save_s pga_rel_median_load_s pga_rel_n
0 10 100 100000 0 100 100 10.30162239 243.3450276851654 22.122275244105946 13.516551971435547 11 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 10.30162239 247.09424996376038 22.463113633069124 13.485166192054749 11 1.0$\times$ 0.98$\times$ 0.98$\times$ 1.0$\times$ 1.0$\times$ 20.603643436 465.58042764663696 42.325493422421545 27.23420560359955 11 0.5$\times$ 0.52$\times$ 0.52$\times$ 0.5$\times$ 1.0$\times$ 20.60324819 324.5828957557678 29.507535977797076 14.57981789112091 11 0.5$\times$ 0.75$\times$ 0.75$\times$ 0.93$\times$ 1.0$\times$ 11.331785753 300.48463463783264 27.316784967075694 14.816871881484985 11 0.91$\times$ 0.81$\times$ 0.81$\times$ 0.91$\times$ 1.0$\times$ 18.00681319 293.0084309577942 26.637130087072197 41.76791596412659 11 0.57$\times$ 0.83$\times$ 0.83$\times$ 0.32$\times$ 1.0$\times$ 1.030217184 84.02462029457092 7.638601844960993 16.537598371505737 11 10.0$\times$ 2.9$\times$ 2.9$\times$ 0.82$\times$ 1.0$\times$
1 10 100 100000 10 100 100 10.30162239 258.3916742801666 23.490152207287874 13.46841561794281 11 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 10.30162239 261.8548035621643 23.804982142014936 13.787797212600708 11 1.0$\times$ 0.99$\times$ 0.99$\times$ 0.98$\times$ 1.0$\times$ 20.603643436 493.6735734939575 44.87941577217796 27.758109092712402 11 0.5$\times$ 0.52$\times$ 0.52$\times$ 0.49$\times$ 1.0$\times$ 20.60324819 332.0737316608429 30.188521060076628 14.93015456199646 11 0.5$\times$ 0.78$\times$ 0.78$\times$ 0.9$\times$ 1.0$\times$ 11.331785753 310.8931131362915 28.26301028511741 14.590159893035889 11 0.91$\times$ 0.83$\times$ 0.83$\times$ 0.92$\times$ 1.0$\times$ 18.141385998 308.0267264842987 28.00242968039079 41.21932864189148 11 0.57$\times$ 0.84$\times$ 0.84$\times$ 0.33$\times$ 1.0$\times$ 1.957430422 128.79868841171265 11.708971673792059 16.259437203407288 11 5.3$\times$ 2.0$\times$ 2.0$\times$ 0.83$\times$ 1.0$\times$
2 10 100 100000 20 100 100 10.30162239 263.9286026954651 23.993509335951373 13.325603365898132 11 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 10.30162239 267.6282162666321 24.3298378424211 13.599799513816833 11 1.0$\times$ 0.99$\times$ 0.99$\times$ 0.98$\times$ 1.0$\times$ 20.603643436 502.9061141014099 45.71873764558272 27.391516089439392 11 0.5$\times$ 0.52$\times$ 0.52$\times$ 0.49$\times$ 1.0$\times$ 20.60324819 336.2917902469635 30.571980931542136 14.70024311542511 11 0.5$\times$ 0.78$\times$ 0.78$\times$ 0.91$\times$ 1.0$\times$ 11.331785753 312.7892668247223 28.435387893156573 14.720876574516296 11 0.91$\times$ 0.84$\times$ 0.84$\times$ 0.91$\times$ 1.0$\times$ 18.409065563 302.02658247947693 27.456962043588813 41.072589635849 11 0.56$\times$ 0.87$\times$ 0.87$\times$ 0.32$\times$ 1.0$\times$ 2.88462237 178.16386604309082 16.196715094826438 15.981006383895874 11 3.6$\times$ 1.5$\times$ 1.5$\times$ 0.83$\times$ 1.0$\times$
3 10 100 100000 30 100 100 10.30162239 272.3288803100586 24.757170937278055 13.569114089012146 11 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 10.30162239 269.00068950653076 24.454608136957344 13.633159041404724 11 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 20.603643436 507.1141974925995 46.10129068114541 27.615822315216064 11 0.5$\times$ 0.54$\times$ 0.54$\times$ 0.49$\times$ 1.0$\times$ 20.60324819 300.8439667224884 27.349451520226218 14.838063478469849 11 0.5$\times$ 0.91$\times$ 0.91$\times$ 0.91$\times$ 1.0$\times$ 11.331785753 308.7688088417053 28.069891712882303 14.654450416564941 11 0.91$\times$ 0.88$\times$ 0.88$\times$ 0.93$\times$ 1.0$\times$ 18.409367237 304.0058090686798 27.636891733516347 41.12198877334595 11 0.56$\times$ 0.9$\times$ 0.9$\times$ 0.33$\times$ 1.0$\times$ 3.81181443 236.85334253311157 21.53212204846469 16.4474093914032 11 2.7$\times$ 1.1$\times$ 1.1$\times$ 0.83$\times$ 1.0$\times$
4 10 100 100000 40 100 100 10.30162239 270.59917879104614 24.599925344640557 13.52523958683014 11 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 10.30162239 268.9331934452057 24.448472131382335 13.662425518035889 11 1.0$\times$ 1.0$\times$ 1.0$\times$ 0.99$\times$ 1.0$\times$ 20.603643436 509.0564124584198 46.277855678038165 28.13116943836212 11 0.5$\times$ 0.53$\times$ 0.53$\times$ 0.48$\times$ 1.0$\times$ 20.60324819 301.45352816581726 27.404866196892478 14.983783841133118 11 0.5$\times$ 0.9$\times$ 0.9$\times$ 0.9$\times$ 1.0$\times$ 11.331785753 309.84194898605347 28.16744990782304 15.222511410713196 11 0.91$\times$ 0.87$\times$ 0.87$\times$ 0.89$\times$ 1.0$\times$ 18.543521344 306.60707354545593 27.873370322314177 41.0006388425827 11 0.56$\times$ 0.88$\times$ 0.88$\times$ 0.33$\times$ 1.0$\times$ 4.73900649 288.6623282432556 26.242029840295967 16.690524697303772 11 2.2$\times$ 0.94$\times$ 0.94$\times$ 0.81$\times$ 1.0$\times$
5 10 100 100000 50 100 100 10.30162239 272.7800006866455 24.798181880604137 13.34565258026123 11 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 10.30162239 274.8900556564331 24.990005059675738 13.708676934242249 11 1.0$\times$ 0.99$\times$ 0.99$\times$ 0.97$\times$ 1.0$\times$ 20.603643436 517.8597319126129 47.078157446601175 27.30107891559601 11 0.5$\times$ 0.53$\times$ 0.53$\times$ 0.49$\times$ 1.0$\times$ 20.60324819 308.85441040992737 28.07767367362976 14.969192266464233 11 0.5$\times$ 0.88$\times$ 0.88$\times$ 0.89$\times$ 1.0$\times$ 11.331785753 311.12639594078064 28.28421781279824 14.733185529708862 11 0.91$\times$ 0.88$\times$ 0.88$\times$ 0.91$\times$ 1.0$\times$ 18.409912422 310.5033185482025 28.227574413472954 41.513134837150574 11 0.56$\times$ 0.88$\times$ 0.88$\times$ 0.32$\times$ 1.0$\times$ 5.66619855 333.72321677207947 30.338474252007224 16.01068925857544 11 1.8$\times$ 0.82$\times$ 0.82$\times$ 0.83$\times$ 1.0$\times$
6 10 100 100000 60 100 100 10.30162239 270.9616448879242 24.63287680799311 13.561288714408875 11 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 10.30162239 271.28279972076416 24.662072701887652 13.448049187660217 11 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 20.603643436 514.5624394416809 46.77840358560736 27.569804668426514 11 0.5$\times$ 0.53$\times$ 0.53$\times$ 0.49$\times$ 1.0$\times$ 20.60324819 309.4812083244324 28.134655302221123 15.293599367141724 11 0.5$\times$ 0.88$\times$ 0.88$\times$ 0.89$\times$ 1.0$\times$ 11.331785753 311.85451912879944 28.35041082989086 14.911336064338684 11 0.91$\times$ 0.87$\times$ 0.87$\times$ 0.91$\times$ 1.0$\times$ 18.275005573 311.8388078212738 28.348982529206708 40.95463812351227 11 0.56$\times$ 0.87$\times$ 0.87$\times$ 0.33$\times$ 1.0$\times$ 6.59339061 392.437077999115 35.67609799991954 16.634100914001465 11 1.6$\times$ 0.69$\times$ 0.69$\times$ 0.82$\times$ 1.0$\times$
7 10 100 100000 70 100 100 10.30162239 273.56650829315186 24.869682572104715 13.457462072372437 11 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 10.30162239 273.0600025653839 24.82363659685308 13.665955662727356 11 1.0$\times$ 1.0$\times$ 1.0$\times$ 0.98$\times$ 1.0$\times$ 20.603643436 513.2621285915375 46.66019350832159 28.072556972503662 11 0.5$\times$ 0.53$\times$ 0.53$\times$ 0.48$\times$ 1.0$\times$ 20.60324819 308.1539170742035 28.013992461291227 14.883428931236267 11 0.5$\times$ 0.89$\times$ 0.89$\times$ 0.9$\times$ 1.0$\times$ 11.331785753 313.29423570632935 28.48129415512085 14.935054063796997 11 0.91$\times$ 0.87$\times$ 0.87$\times$ 0.9$\times$ 1.0$\times$ 18.408510433 315.1016192436218 28.645601749420166 40.83497071266174 11 0.56$\times$ 0.87$\times$ 0.87$\times$ 0.33$\times$ 1.0$\times$ 7.52058267 441.7208216190338 40.15643832900307 16.086009740829468 11 1.4$\times$ 0.62$\times$ 0.62$\times$ 0.84$\times$ 1.0$\times$
8 10 100 100000 80 100 100 10.30162239 275.2507517337799 25.02279561216181 13.29032564163208 11 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 10.30162239 277.70424699783325 25.24584063616666 13.529223203659058 11 1.0$\times$ 0.99$\times$ 0.99$\times$ 0.98$\times$ 1.0$\times$ 20.603643436 512.9620156288147 46.63291051171043 27.57759964466095 11 0.5$\times$ 0.54$\times$ 0.54$\times$ 0.48$\times$ 1.0$\times$ 20.60324819 308.0723330974579 28.006575736132536 14.979608535766602 11 0.5$\times$ 0.89$\times$ 0.89$\times$ 0.89$\times$ 1.0$\times$ 11.331785753 320.5309934616089 29.139181223782625 14.713927626609802 11 0.91$\times$ 0.86$\times$ 0.86$\times$ 0.9$\times$ 1.0$\times$ 18.408759507 313.0655720233917 28.460506547581065 41.2700001001358 11 0.56$\times$ 0.88$\times$ 0.88$\times$ 0.32$\times$ 1.0$\times$ 8.44777473 485.2502737045288 44.113661245866254 16.207033157348633 11 1.2$\times$ 0.57$\times$ 0.57$\times$ 0.82$\times$ 1.0$\times$
9 10 100 100000 90 100 100 10.30162239 272.6672959327698 24.787935993888162 13.377068042755127 11 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 1.0$\times$ 10.30162239 271.49172830581665 24.681066209619697 13.552083373069763 11 1.0$\times$ 1.0$\times$ 1.0$\times$ 0.99$\times$ 1.0$\times$ 20.603643436 517.6778483390808 47.06162257628007 27.26289403438568 11 0.5$\times$ 0.53$\times$ 0.53$\times$ 0.49$\times$ 1.0$\times$ 20.60324819 306.1352787017822 27.830479881980203 15.011383414268494 11 0.5$\times$ 0.89$\times$ 0.89$\times$ 0.89$\times$ 1.0$\times$ 11.331785753 318.8950321674347 28.990457469766792 15.01448106765747 11 0.91$\times$ 0.86$\times$ 0.86$\times$ 0.89$\times$ 1.0$\times$ 18.276760624 311.00689911842346 28.273354465311225 42.48361015319824 11 0.56$\times$ 0.88$\times$ 0.88$\times$ 0.31$\times$ 1.0$\times$ 9.37496679 537.8728358745575 48.89753053405068 15.980184316635132 11 1.1$\times$ 0.51$\times$ 0.51$\times$ 0.84$\times$ 1.0$\times$
