index index_label label lower_whisker lower_quartile median upper_quartile upper_whisker max
0 0 itsttime 751.0 1387.5 1516.0 132498.0 160936.0 160936
1 1 storesfg 67.0 24677.0 80290.0 82498.0 90339.0 90339
2 2 buildats 843.0 1320.25 2027.5 4849.5 5072.0 5072
3 3 skltweet 1218217.0 1262596.25 1352548.5 1534962.0 1551485.0 1551485
4 4 ai4code 19269909.0 19270560.0 19281434.0 20396989.0 20397220.0 20397220
5 5 agripred 69.0 104.0 129.0 166.0 214.0 214
6 6 msciedaw 79.0 93268.0 165462.0 284259.0 424918.0 424918
7 7 ecomsmph 61.0 736.0 580914.0 1385191.0 1398011.0 34540886
8 8 netmnist 2584.0 2584.0 2613.0 2625.0 2660.0 2660
9 9 rlactcri 2810.0 2810.0 2953.0 3937.0 5481.0 93625
10 10 vaenet 2943.0 2943.0 2996.0 3028.0 3073.0 3073
11 11 tseqpred 4014.0 4605.0 5162.0 5166.0 5193.0 5193
12 12 wordlang 34711.0 34711.0 34729.0 34886.0 34886.0 34886
